Month,Week Of,Month,Mon,Tue,Wed,Thu,Fri
2019 Jul,2019 Jul-29 to Aug- 2,2019 Jul,2.23,2.22,2.28,2.36,2.12
2019 Aug,2019 Aug- 5 to Aug- 9,2019 Aug,2.02,2.15,2.18,2.13,2.09
2019 Aug,2019 Aug-12 to Aug-16,2019 Aug,2.21,2.24,2.22,2.19,2.2
2019 Aug,2019 Aug-19 to Aug-23,2019 Aug,2.26,2.35,2.31,2.28,2.15
2019 Aug,2019 Aug-26 to Aug-30,2019 Aug,2.23,2.24,2.24,2.36,2.33
2019 Sep,2019 Sep- 2 to Sep- 6,2019 Sep,,2.39,2.48,2.49,2.49
2019 Sep,2019 Sep- 9 to Sep-13,2019 Sep,2.65,2.67,2.63,2.62,2.61
2019 Sep,2019 Sep-16 to Sep-20,2019 Sep,2.75,2.7,2.72,2.65,2.34
2019 Sep,2019 Sep-23 to Sep-27,2019 Sep,2.55,2.55,2.54,2.57,2.41
2019 Sep,2019 Sep-30 to Oct- 4,,2.37,,,,
